"","substanceBXH","geneSymbol","LocusLinkID","moduleColor","GS.rasgo","p.GS.rasgo","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.grey","p.MM.grey","MM.yellow","p.MM.yellow","MM.green","p.MM.green","MM.magenta","p.MM.magenta","MM.pink","p.MM.pink","MM.red","p.MM.red","MM.black","p.MM.black","MM.brown","p.MM.brown"
"MMT00043307","MMT00043307","Ifitm2",80876,"grey",0.0780050785572516,0.370316601055992,0.340595595823619,5.65367558680993e-05,-0.132212776992376,0.127801660730201,-0.178374597962791,0.0392021988940706,-0.298521221148444,0.000459197252104813,-0.414301540633235,6.47628518759542e-07,-0.0314987701417244,0.717876488168662,0.0294135579320829,0.735838247180334,0.0420447672429472,0.6295523549774,-0.435504762824879,1.4481810510419e-07,-0.0852791782468362,0.327226589536313
"MMT00054378","MMT00054378","Zfp294",78913,"grey",-0.0778093497162512,0.371522190661877,0.032562307798665,0.708773617800517,-0.262712156612508,0.00216453284739132,0.527522553306957,5.79276497449522e-11,0.141987969576026,0.10172796718826,0.315145898166852,0.000208188362778917,0.585424470483718,1.0934463761235e-13,0.0561033147886209,0.519662440860426,-0.0508439388777669,0.559607454375299,0.104107892218839,0.231267001980669,0.458828103498211,2.46697689731861e-08
"MMT00076735","MMT00076735","Dkk3",50781,"grey",-0.0777828052830608,0.371685875936565,-0.124426828053813,0.152022658751524,0.115440869510213,0.184095380473419,0.122779327165457,0.157564208161188,0.246095244720386,0.00415317113454535,0.266103679501138,0.00188519714792756,0.118576008560887,0.172386240781269,-0.190525000974296,0.0274496380678802,0.0748345511880689,0.390140496417147,0.518518413577781,1.3855996501666e-10,-0.0853719256415198,0.326698833043206
"MMT00012773","MMT00012773","BC022145",217203,"grey",-0.0777567666936414,0.371846484896874,-0.0305433775610307,0.726087682067267,-0.0400573279058402,0.645848299576885,-0.126946388539727,0.143833368857399,0.362796477014151,1.64707452163624e-05,-0.263776035764764,0.002073115244005,-0.492373197648716,1.51629423542396e-09,-0.132919278295127,0.125759846413142,-0.0162182273752994,0.852450314279337,-0.182904128320694,0.0344034698858932,-0.289319482864856,0.000697523101545935
"MMT00079905","MMT00079905","Il18bp",16068,"grey",-0.0775835747524882,0.372915834575571,-0.126510192003251,0.145226671829996,-0.201802782418964,0.0193737193766676,0.0915279723524834,0.292893039383743,0.268111514141765,0.00173567204355364,-0.245043671575948,0.00432199458405711,-0.247298671652342,0.00396724473552534,-0.111902884536701,0.197996394963064,-0.0428622772845791,0.622900036024704,-0.385829349273568,4.14436380250347e-06,0.151752705091771,0.0800563748255431
"MMT00062748","MMT00062748",NA,NA,"grey",0.0771813799081126,0.375406385005097,-0.312050612637425,0.00024207982719869,-0.0329907573145549,0.705117999082685,0.236607816808522,0.00591476223396042,0.261685690163656,0.00225618287620473,-0.0266293755995983,0.760043602662395,-0.0421114085486446,0.629008951824742,-0.0166296316358187,0.848751545373252,-0.0211478888999686,0.808363198297535,-0.121755413680938,0.161083682513127,0.351494373257273,3.12170645838966e-05
"MMT00043051","MMT00043051","Olfr571",259089,"grey",0.0771554446636566,0.375567334202591,-0.160531024132603,0.0638956418890187,0.158473084054193,0.0674225389676284,-0.0828238530481232,0.341396766016682,-0.114306273656869,0.188473204019374,0.213769061982039,0.0131341374619888,0.0444973090892625,0.609686609843206,0.0474284874605663,0.586312646370965,0.0790057937615352,0.364190318007425,0.329058339992339,0.000103548774149658,-0.012877678172683,0.882595759678088
"MMT00007723","MMT00007723","BB049667",330721,"grey",-0.0771335732545393,0.375703096751645,0.0430708299399351,0.621207813494434,-0.0329544189947043,0.70542778535468,0.263721466380885,0.00207771775225916,0.137279713171643,0.113709419720017,0.20541201916,0.0172663091315499,0.133763368303984,0.123353443250051,-0.0583679247920554,0.502922157209408,-0.0619321223362364,0.477157090860511,0.0426880872911147,0.624314946710678,0.182711225284877,0.0345972194384527
"MMT00052545","MMT00052545","Olfr616",259103,"grey",0.0768063392486497,0.377737914510296,-0.0249763755710656,0.774527004864508,0.00876250972498523,0.919959279040078,0.0907512531770705,0.297025474018887,-0.0336763530640883,0.699282364279293,0.193370413565945,0.0251802419170084,0.153575735393249,0.0764546701451524,0.0367559494019946,0.673289828672363,0.0517502876648949,0.552620004756363,0.166997862758742,0.0537811678691798,0.0583267563250621,0.503223944960303
"MMT00005618","MMT00005618","1810062O14Rik",108995,"grey",0.0767387214008669,0.378159213499087,-0.266589506051905,0.00184798196800753,0.0701706232789378,0.420434612624858,-0.189881269131193,0.0279865834507921,0.098378332102797,0.258102185687347,-0.169517389184728,0.0502162480514311,-0.34581745709752,4.26514878862701e-05,-0.0208024836996075,0.811434416921241,0.0383330889880481,0.660123938539135,-0.161415461219968,0.0624268935042906,-0.01995733716075,0.81896117201131
